STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,AAM,04-05-2021,10.20,0,0%,10.20,"3,300",10.20,10.30,10.10,0,100,500
#2,AAM,29-04-2021,10.70,-0.50,-4.67%,10.20,"17,300",10.65,10.70,10.20,0,0,0
#3,AAM,29-04-2021,10.70,-0.50,-4.67%,10.20,"17,300",10.65,10.70,10.20,0,0,0
#4,AAM,28-04-2021,10.50,0.20,1.90%,10.70,"4,000",10.50,10.70,10,0,0,0
#5,AAM,27-04-2021,10.85,-0.35,-3.23%,10.50,900,10.50,10.50,10.30,0,0,0
#6,AAM,26-04-2021,10.90,-0.05,-0.46%,10.85,"1,500",10.90,10.90,10.75,0,0,0
#7,AAM,23-04-2021,11,-0.10,-0.91%,10.90,"5,400",11,11,10.90,0,0,0
#8,AAM,22-04-2021,10.70,0.30,2.80%,11,"6,000",10.60,11.10,10.20,0,0,0
#9,AAM,20-04-2021,10.95,-0.25,-2.28%,10.70,"3,700",10.95,10.95,10.60,0,0,0
#10,AAM,19-04-2021,11.10,-0.15,-1.35%,10.95,"2,600",10.60,10.95,10.60,0,0,0
#11,AAM,16-04-2021,11.10,0,0%,11.10,0,11.10,11.10,11.10,0,0,0
#12,AAM,15-04-2021,11.15,-0.05,-0.45%,11.10,"3,000",10.60,11.15,10.60,0,0,0
#13,AAM,14-04-2021,11.15,0,0%,11.15,"10,200",11.15,11.15,10.55,0,0,0
#14,AAM,13-04-2021,11.15,0,0%,11.15,"11,500",11.15,11.15,11.15,0,0,0
#15,AAM,12-04-2021,11.20,-0.05,-0.45%,11.15,"14,000",11.20,11.20,11.10,0,0,0
#16,AAM,09-04-2021,11,0.20,1.82%,11.20,"3,900",11,11.20,11,0,0,0
