STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,AAS,29-04-2021,8.60,0.10,1.16%,8.70,"835,200",8.70,8.80,8.50,0,"5,000",0
#2,AAS,28-04-2021,8.50,0.20,2.35%,8.70,"573,200",8.50,8.90,8.40,0,0,"4,500"
#3,AAS,27-04-2021,8.80,-0.30,-3.41%,8.50,"782,800",8.60,8.70,8.30,0,0,0
#4,AAS,26-04-2021,8.90,-0.10,-1.12%,8.80,"1,077,177",9.10,9.30,8.60,0,0,0
#5,AAS,23-04-2021,9.10,0.10,1.10%,9.20,"1,391,750",8.60,9.30,8.40,0,0,"2,000"
#6,AAS,22-04-2021,9.70,-1.10,-11.34%,8.60,"1,870,303",9.60,9.70,8.50,0,0,0
#7,AAS,20-04-2021,9.70,-0.10,-1.03%,9.60,"1,003,100",10.20,10.20,9.50,0,0,0
#8,AAS,19-04-2021,9.70,0.20,2.06%,9.90,"891,472",9.70,10,9.50,0,0,0
#9,AAS,16-04-2021,10.30,-0.50,-4.85%,9.80,"2,655,424",10.20,10.20,9.20,0,0,"1,000"
#10,AAS,15-04-2021,10.30,-0.10,-0.97%,10.20,"1,887,910",10.60,10.70,10.10,0,0,0
#11,AAS,14-04-2021,10.60,-0.10,-0.94%,10.50,"1,827,577",10.40,10.50,10.10,0,0,"6,400"
#12,AAS,13-04-2021,10.60,-0.20,-1.89%,10.40,"2,796,517",10.80,11,10.20,0,"11,500","10,300"
#13,AAS,12-04-2021,10.30,0.50,4.85%,10.80,"2,607,354",10.40,10.80,10.20,0,"10,100","14,000"
#14,AAS,09-04-2021,10.40,-0.10,-0.96%,10.30,"1,680,200",10.50,10.50,10.10,0,0,600
#15,AAS,08-04-2021,10.60,-0.10,-0.94%,10.50,"1,692,221",10.80,10.90,10.10,0,0,"2,000"
#16,AAS,07-04-2021,10,0.80,8%,10.80,"2,645,096",10.10,11,10.10,0,700,0
#17,AAS,06-04-2021,10,0.20,2%,10.20,"2,697,591",10,10.20,9.80,0,"19,700","19,000"
#18,AAS,05-04-2021,9.90,0.10,1.01%,10,"2,778,493",9.90,10.30,9.70,0,"13,300",0
#19,AAS,02-04-2021,9.40,0.40,4.26%,9.80,"2,205,295",9.70,10.30,9.60,0,100,"13,400"
#20,AAS,01-04-2021,8.70,1.20,13.79%,9.90,"4,108,521",8.80,9.90,8.80,0,600,0
#21,AAS,31-03-2021,8.60,0.20,2.33%,8.80,"1,436,171",8.90,8.90,8.60,0,0,"3,600"
#22,AAS,30-03-2021,8.50,0.30,3.53%,8.80,"1,000,180",8.70,8.80,8.50,0,100,"1,000"
#23,AAS,29-03-2021,8.10,0.60,7.41%,8.70,"787,063",8.40,8.70,8.30,0,0,0
#24,AAS,26-03-2021,8.50,-0.10,-1.18%,8.40,"2,014,674",8.50,8.50,7.70,0,0,0
#25,AAS,25-03-2021,8.70,-0.20,-2.30%,8.50,"1,377,761",8.70,8.70,8.30,0,400,0
#26,AAS,24-03-2021,9.10,-0.40,-4.40%,8.70,"2,432,770",9,9.10,8.30,0,300,0
#27,AAS,23-03-2021,9.20,-0.10,-1.09%,9.10,"1,363,183",9.20,9.30,8.90,0,0,0
#28,AAS,22-03-2021,9.20,0,0%,9.20,"1,135,093",9.20,9.40,9.10,0,0,"15,000"
#29,AAS,19-03-2021,9.10,0.10,1.10%,9.20,"1,944,789",9.20,9.40,9.10,0,"5,400",0
#30,AAS,18-03-2021,8.90,0.30,3.37%,9.20,"2,436,095",9,9.20,9,0,0,"6,700"
#31,AAS,17-03-2021,8.90,0.10,1.12%,9,"877,760",8.90,9,8.80,0,500,0
#32,AAS,16-03-2021,9,-0.10,-1.11%,8.90,"1,528,000",9.10,9.10,8.70,0,0,0
#33,AAS,15-03-2021,9.10,0,0%,9.10,"1,208,186",9.10,9.10,8.90,0,0,0
#34,AAS,12-03-2021,9.10,0,0%,9.10,"922,650",9.20,9.30,8.90,0,0,500
#35,AAS,11-03-2021,8.80,0.40,4.55%,9.20,"1,673,910",8.90,9.40,8.90,0,"1,500","1,500"
#36,AAS,10-03-2021,8.90,0,0%,8.90,"1,299,535",8.90,8.90,8.60,0,800,"1,000"
#37,AAS,09-03-2021,9.10,-0.20,-2.20%,8.90,"1,656,800",9.20,9.20,8.70,0,800,0
#38,AAS,08-03-2021,8.60,0.60,6.98%,9.20,"1,932,000",9,9.40,9,0,800,0
#39,AAS,05-03-2021,8.20,0.80,9.76%,9,"2,863,100",8.40,9.20,8,0,"6,600",0
#40,AAS,04-03-2021,8.20,0.20,2.44%,8.40,"1,935,471",8.30,8.50,8,0,0,0
#41,AAS,03-03-2021,8.20,0.10,1.22%,8.30,"1,136,760",8.20,8.30,8,0,0,"2,400"
#42,AAS,02-03-2021,8.10,0.10,1.23%,8.20,"1,433,357",8.20,8.40,8,0,500,"2,900"
#43,AAS,01-03-2021,7.80,0.30,3.85%,8.10,"1,348,860",7.90,8.10,7.50,0,0,"34,000"
#44,AAS,26-02-2021,8,-0.20,-2.50%,7.80,"1,153,500",7.80,7.90,7.70,0,"1,000","12,000"
#45,AAS,25-02-2021,8.10,-0.10,-1.23%,8,"1,038,700",8.10,8.30,7.80,0,"1,300",0
#46,AAS,24-02-2021,7.70,0.40,5.19%,8.10,"2,616,558",7.70,8.20,7.70,0,"23,600","100,900"
#47,AAS,23-02-2021,7.60,0.10,1.32%,7.70,"896,583",7.70,7.80,7.50,0,"1,400",0
#48,AAS,22-02-2021,7.60,0,0%,7.60,"1,208,279",7.70,7.80,7.40,0,0,0
#49,AAS,19-02-2021,7.70,-0.10,-1.30%,7.60,"1,146,400",7.60,7.70,7.40,0,"22,000",0
#50,AAS,18-02-2021,7.60,0.10,1.32%,7.70,"1,200,900",7.60,7.90,7.50,0,900,100
#51,AAS,17-02-2021,7.30,0.30,4.11%,7.60,"1,009,754",7.30,7.80,7,0,0,0
#52,AAS,09-02-2021,7.10,0.20,2.82%,7.30,"1,199,403",7,7.40,7,0,0,0
#53,AAS,08-02-2021,7.60,-0.50,-6.58%,7.10,"1,288,900",7.60,7.70,6.90,0,0,0
#54,AAS,05-02-2021,7.60,0,0%,7.60,"749,353",7.60,7.70,7.50,0,"29,000",0
#55,AAS,04-02-2021,7.50,0.10,1.33%,7.60,"1,644,447",7.50,7.80,7.30,0,0,0
#56,AAS,03-02-2021,6.80,0.70,10.29%,7.50,"1,576,926",6.70,7.60,6.60,0,200,0
#57,AAS,02-02-2021,6.70,0.10,1.49%,6.80,"699,240",6.70,6.90,6.40,0,0,0
#58,AAS,01-02-2021,7,-0.30,-4.29%,6.70,"1,600,200",7,7.20,6.40,0,"16,000",100
#59,AAS,29-01-2021,6.10,0.90,14.75%,7,"2,461,380",5.70,7,5.40,0,"1,500",0
#60,AAS,28-01-2021,7,-0.90,-12.86%,6.10,"1,797,548",6.60,7,6.10,0,"56,000",0
#61,AAS,27-01-2021,8,-1,-12.50%,7,"3,124,184",8,8,7,0,700,0
#62,AAS,26-01-2021,9.30,-1.30,-13.98%,8,"4,126,929",9.20,9.30,8,0,"5,100",100
#63,AAS,25-01-2021,9.80,-0.50,-5.10%,9.30,"2,899,985",9.80,9.80,9,0,"55,000","1,700"
#64,AAS,22-01-2021,10.10,-0.30,-2.97%,9.80,"2,247,900",10,10.20,9.60,0,"2,100","5,000"
#65,AAS,21-01-2021,10.50,-0.40,-3.81%,10.10,"4,462,490",9.50,10.50,9.20,0,"34,000","23,000"
#66,AAS,20-01-2021,10.50,0,0%,10.50,"3,234,711",10.50,11,9.50,0,"34,000","23,000"
#67,AAS,19-01-2021,12,-1.50,-12.50%,10.50,"5,359,569",12.10,12.20,9.90,0,"24,000",0
#68,AAS,18-01-2021,10.70,1.30,12.15%,12,"3,247,930",10,12.10,10,0,200,200
#69,AAS,15-01-2021,10.20,0.50,4.90%,10.70,"1,925,963",10.20,10.80,10,0,"30,000",800
#70,AAS,14-01-2021,9.50,0.70,7.37%,10.20,"3,615,545",9.50,10.30,9.30,0,0,"57,400"
#71,AAS,13-01-2021,9.30,0.20,2.15%,9.50,"2,629,681",9.30,9.60,9.30,0,"5,200",0
#72,AAS,12-01-2021,9.60,-0.30,-3.13%,9.30,"1,985,100",9.60,9.60,9.10,0,0,0
#73,AAS,11-01-2021,9.40,0.20,2.13%,9.60,"2,515,900",9.30,9.90,9.30,0,0,0
