STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,ABI,29-04-2021,43.10,1.30,3.02%,44.40,"18,301",43.30,49.50,43.30,0,"14,000",700
#2,ABI,28-04-2021,43.10,0.30,0.70%,43.40,"2,202",43.20,43.50,42.90,0,"1,400",0
#3,ABI,27-04-2021,43,0.20,0.47%,43.20,"2,800",43,43.50,42.90,0,"1,700",0
#4,ABI,26-04-2021,42.40,0.80,1.89%,43.20,"8,901",43.30,44,42.40,0,"3,500","1,500"
#5,ABI,23-04-2021,43.30,0.10,0.23%,43.40,"29,000",42,43.50,41.60,0,"15,700","3,600"
#6,ABI,22-04-2021,43.80,-1.60,-3.65%,42.20,"54,200",44.30,44.30,42.20,0,"43,800","14,300"
#7,ABI,20-04-2021,43.80,-0.30,-0.68%,43.50,"21,200",44,44.70,43.50,0,"2,000",0
#8,ABI,19-04-2021,43.50,0.40,0.92%,43.90,"19,912",43.50,44.40,43.50,0,"5,600",0
#9,ABI,16-04-2021,44,0,0%,44,"2,904",44.60,44.60,43.10,0,"1,400",0
#10,ABI,15-04-2021,44,-0.40,-0.91%,43.60,"34,600",43.20,44.30,43.20,0,200,0
#11,ABI,14-04-2021,44.40,0,0%,44.40,"17,900",44.80,45,43.90,0,"1,400",0
#12,ABI,13-04-2021,44.70,0,0%,44.70,"44,300",45,45,44,0,800,0
#13,ABI,12-04-2021,44.20,0.80,1.81%,45,"23,400",44.90,45,44.20,0,"3,100",0
#14,ABI,09-04-2021,43.20,1.30,3.01%,44.50,"16,200",43.50,45,43.20,0,"2,100",0
#15,ABI,08-04-2021,43.80,-0.80,-1.83%,43,"125,509",44.50,44.50,42,0,"7,800","54,400"
#16,ABI,07-04-2021,44.40,-0.40,-0.90%,44,"71,516",44.90,45.60,43.50,0,"10,100","52,200"
#17,ABI,06-04-2021,44.40,-0.10,-0.23%,44.30,"26,525",45.50,45.50,44.30,0,"4,700","15,700"
#18,ABI,05-04-2021,45.10,-1.10,-2.44%,44,"90,321",44.50,45.90,44,0,"7,300",0
#19,ABI,02-04-2021,45.20,-0.20,-0.44%,45,"20,547",45.90,46,45,0,"1,600","12,000"
#20,ABI,01-04-2021,45.70,-0.30,-0.66%,45.40,"111,810",45.70,46.20,44.90,0,"5,300","79,800"
#21,ABI,31-03-2021,45.70,0,0%,45.70,"8,845",46.10,46.40,45.20,0,"2,200",0
#22,ABI,30-03-2021,45.70,0,0%,45.70,"13,650",46,46.50,45.10,0,"2,100",0
#23,ABI,29-03-2021,45,0.10,0.22%,45.10,"14,504",45.90,46.70,45.10,0,"2,500",0
#24,ABI,26-03-2021,45.20,-0.30,-0.66%,44.90,"75,400",45.90,46.70,44.40,0,"1,000",0
#25,ABI,25-03-2021,45.30,-0.60,-1.32%,44.70,"11,269",45.90,47,44.70,0,"1,600","1,000"
#26,ABI,24-03-2021,44.90,0.10,0.22%,45,"37,301",45.70,46,44.80,0,"11,100","1,000"
#27,ABI,23-03-2021,44.40,1,2.25%,45.40,"44,667",44.50,47.50,44.40,0,"1,900",500
#28,ABI,22-03-2021,43.50,1.50,3.45%,45,"63,730",43.50,48,43.50,0,"11,100","1,200"
#29,ABI,19-03-2021,44.30,-0.30,-0.68%,44,"20,815",44.50,44.50,43,0,"1,205",0
#30,ABI,18-03-2021,44.50,-0.40,-0.89%,44.10,"10,619",44.50,44.59,43.80,0,"3,000","2,000"
#31,ABI,17-03-2021,43.50,0.99,2.28%,44.50,"13,100",44.10,44.50,43.50,0,900,100
#32,ABI,16-03-2021,43.11,0.40,0.92%,43.50,"37,100",43.60,44.50,42.81,0,700,0
#33,ABI,15-03-2021,42.51,0.59,1.40%,43.11,"44,313",42.61,43.60,41.92,0,700,0
#34,ABI,12-03-2021,41.62,0.89,2.14%,42.51,"84,700",42.51,44.30,41.62,0,"12,500",0
#35,ABI,11-03-2021,41.62,0,0%,41.62,"13,100",41.72,42.22,41.52,0,800,0
#36,ABI,10-03-2021,41.62,0,0%,41.62,"21,800",42.51,42.51,40.93,0,"3,700",0
#37,ABI,09-03-2021,42.02,-0.40,-0.94%,41.62,"6,900",42.02,42.02,41.13,0,"5,200",0
#38,ABI,08-03-2021,41.92,0.10,0.24%,42.02,"15,500",42.02,43.41,41.52,0,"5,200",0
#39,ABI,05-03-2021,41.82,0.10,0.24%,41.92,"7,100",41.92,41.92,39.74,0,200,0
#40,ABI,04-03-2021,42.22,-0.40,-0.94%,41.82,"31,600",42.31,42.31,40.73,0,"1,500",0
#41,ABI,03-03-2021,42.51,-0.30,-0.70%,42.22,"33,709",42.61,43.50,41.22,0,"2,800",0
#42,ABI,02-03-2021,43.50,-0.99,-2.28%,42.51,"12,516",44.59,44.59,42.51,0,"4,200",0
#43,ABI,01-03-2021,41.03,2.48,6.04%,43.50,"22,431",41.13,46.68,41.13,0,"5,700","2,000"
#44,ABI,26-02-2021,41.22,-0.20,-0.48%,41.03,"49,800",40.93,41.03,40.23,0,"3,300","1,500"
#45,ABI,25-02-2021,40.53,0.69,1.71%,41.22,"61,309",41.03,41.32,40.33,0,100,0
#46,ABI,24-02-2021,40.43,0.10,0.25%,40.53,"21,705",40.73,41.32,39.64,0,400,"4,900"
#47,ABI,23-02-2021,40.04,0.40,0.99%,40.43,"37,901",40.23,40.63,40.13,0,"1,200",0
#48,ABI,22-02-2021,39.64,0.40,1%,40.04,"17,790",40.33,41.32,39.84,0,"1,100",0
#49,ABI,19-02-2021,40.13,-0.50,-1.23%,39.64,"11,400",40.53,40.53,39.64,0,100,"1,500"
#50,ABI,18-02-2021,39.84,0.30,0.75%,40.13,"13,800",40.53,41.52,39.74,0,800,"6,500"
#51,ABI,17-02-2021,39.54,0.30,0.75%,39.84,"50,605",40.33,40.33,39.14,0,200,"1,000"
#52,ABI,09-02-2021,38.85,0.69,1.79%,39.54,"2,306",39.54,39.54,39.44,0,"1,200",0
#53,ABI,08-02-2021,39.54,-0.69,-1.75%,38.85,"17,200",40.43,40.43,38.35,0,"3,500",0
#54,ABI,05-02-2021,38.55,0.99,2.57%,39.54,"20,900",39.54,39.64,38.65,0,200,0
#55,ABI,04-02-2021,38.65,-0.10,-0.26%,38.55,"16,300",39.54,39.54,38.45,0,200,0
#56,ABI,03-02-2021,38.25,0.40,1.04%,38.65,"13,100",38.65,38.65,37.66,0,"2,200",0
#57,ABI,02-02-2021,38.55,-0.30,-0.77%,38.25,"10,700",39.54,39.54,36.86,0,"2,300",0
#58,ABI,01-02-2021,39.04,-0.50,-1.27%,38.55,"6,600",39.44,39.44,37.66,0,700,0
#59,ABI,29-01-2021,38.65,0.40,1.03%,39.04,"9,800",36.67,40.53,36.67,0,"1,200",0
#60,ABI,28-01-2021,39.44,-0.79,-2.01%,38.65,"35,800",38.25,39.44,34.68,0,800,0
#61,ABI,27-01-2021,40.43,-0.99,-2.45%,39.44,"41,800",40.23,40.63,38.65,0,0,0
#62,ABI,26-01-2021,41.32,-0.89,-2.16%,40.43,"29,300",41.32,41.32,40.13,0,0,0
#63,ABI,25-01-2021,40.83,0.50,1.21%,41.32,"91,700",40.63,41.62,40.33,0,"26,400",0
#64,ABI,22-01-2021,40.43,0.40,0.98%,40.83,"55,600",40.63,41.52,40.23,0,"4,200",0
#65,ABI,21-01-2021,38.65,1.78,4.62%,40.43,"114,350",38.65,41.52,38.55,0,"10,400",0
#66,ABI,20-01-2021,38.65,0,0%,38.65,"22,839",39.14,39.44,37.36,0,"10,400",0
#67,ABI,19-01-2021,40.33,-1.68,-4.18%,38.65,"28,303",40.13,40.43,37.66,0,"4,200",0
#68,ABI,18-01-2021,40.63,-0.30,-0.73%,40.33,"20,800",40.13,40.63,40.13,0,"2,100",0
#69,ABI,15-01-2021,40.63,0,0%,40.63,"20,100",40.13,40.63,39.94,0,"1,100",500
#70,ABI,14-01-2021,39.34,1.29,3.27%,40.63,"40,201",39.24,40.63,39.24,0,300,0
#71,ABI,13-01-2021,39.54,-0.20,-0.50%,39.34,"57,440",39.54,40.13,39.34,0,0,0
#72,ABI,12-01-2021,39.64,-0.10,-0.25%,39.54,"18,300",40.83,40.93,39.34,0,300,0
#73,ABI,11-01-2021,40.93,-1.29,-3.15%,39.64,"45,300",40.43,41.13,39.44,0,300,0
#74,ABI,08-01-2021,40.73,0.20,0.49%,40.93,"7,930",40.13,40.93,39.64,0,200,0
#75,ABI,07-01-2021,41.62,-0.89,-2.14%,40.73,"19,700",41.42,41.92,40.43,0,"1,100",0
#76,ABI,06-01-2021,41.92,-0.30,-0.71%,41.62,"51,000",42.12,42.61,40.73,0,"25,200",0
#77,ABI,05-01-2021,42.61,-0.69,-1.63%,41.92,"34,400",42.12,43.21,41.92,0,"2,300",0
#78,ABI,04-01-2021,41.42,1.19,2.87%,42.61,"32,900",36.47,45.59,36.47,0,"8,700",0
#79,ABI,31-12-2020,39.24,2.18,5.56%,41.42,"42,400",39.64,45.68,39.64,0,"2,000",0
#80,ABI,30-12-2020,39.54,-0.30,-0.75%,39.24,"2,550",39.24,40.13,39.24,0,"2,000",0
#81,ABI,29-12-2020,38.65,0.89,2.31%,39.54,"8,470",39.04,40.63,39.04,0,"2,500",100
#82,ABI,28-12-2020,39.14,-0.50,-1.27%,38.65,"10,850",41.13,41.62,38.35,0,"2,000",0
#83,ABI,25-12-2020,39.44,-0.30,-0.75%,39.14,"11,600",39.14,39.14,38.25,0,600,"1,500"
#84,ABI,24-12-2020,39.34,0.10,0.25%,39.44,"2,150",40.53,40.53,38.65,0,"28,000",0
