STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,000001.SS,30-04-2021,0,0,0%,"3,446.86","312,700","3,468.30","3,469.09","3,426.90",0,0,0
#2,000001.SS,29-04-2021,0,0,0%,"3,474.90","276,600","3,458.08","3,478.23","3,447.59",0,0,0
#3,000001.SS,28-04-2021,0,0,0%,"3,457.07","247,400","3,432.16","3,457.07","3,423.33",0,0,0
#4,000001.SS,27-04-2021,0,0,0%,"3,442.61","253,000","3,440.09","3,443.85","3,417.26",0,0,0
#5,000001.SS,26-04-2021,0,0,0%,"3,441.17","277,000","3,484.11","3,497.12","3,438.57",0,0,0
#6,000001.SS,23-04-2021,0,0,0%,"3,474.17","249,400","3,462.09","3,482.36","3,456.33",0,0,0
#7,000001.SS,22-04-2021,0,0,0%,"3,465.11","251,100","3,482.83","3,485.36","3,456.32",0,0,0
#8,000001.SS,21-04-2021,0,0,0%,"3,472.93","253,800","3,456.30","3,481.25","3,450.11",0,0,0
#9,000001.SS,20-04-2021,0,0,0%,"3,472.94","285,300","3,467.15","3,494.30","3,463.46",0,0,0
#10,000001.SS,19-04-2021,0,0,0%,"3,477.55","302,700","3,427.55","3,479.01","3,414.36",0,0,0
#11,000001.SS,16-04-2021,0,0,0%,"3,426.62","258,600","3,407.19","3,432.63","3,394.13",0,0,0
#12,000001.SS,15-04-2021,0,0,0%,"3,398.99","234,000","3,409.61","3,409.61","3,373.09",0,0,0
#13,000001.SS,14-04-2021,0,0,0%,"3,416.72","233,200","3,397.02","3,420.03","3,392.98",0,0,0
#14,000001.SS,13-04-2021,0,0,0%,"3,396.47","270,600","3,411.29","3,425.39","3,387.90",0,0,0
#15,000001.SS,12-04-2021,0,0,0%,"3,412.95","309,600","3,445.97","3,456.16","3,403.90",0,0,0
#16,000001.SS,09-04-2021,0,0,0%,"3,450.68","280,100","3,475.44","3,475.45","3,442.14",0,0,0
#17,000001.SS,08-04-2021,0,0,0%,"3,482.55","331,800","3,467.49","3,495.91","3,459.32",0,0,0
