STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,AAA,29-04-2021,16.70,-0.25,-1.50%,16.45,"2,520,300",16.70,16.95,16.40,0,"134,400","102,100"
#2,AAA,28-04-2021,16.70,0,0%,16.70,"5,392,100",16.70,17.30,16.60,0,"2,900","116,300"
#3,AAA,27-04-2021,16,0.70,4.38%,16.70,"8,657,700",15.80,17.10,15.80,0,"136,100","46,100"
#4,AAA,26-04-2021,16.75,-0.75,-4.48%,16,"2,858,500",16.75,16.80,15.85,0,"43,400","107,200"
#5,AAA,23-04-2021,16.30,0.45,2.76%,16.75,"6,124,300",16.40,16.75,15.60,0,"292,900","26,900"
#6,AAA,22-04-2021,17.50,-1.20,-6.86%,16.30,"4,606,100",17.10,17.30,16.30,0,"48,600","130,900"
#7,AAA,20-04-2021,17.75,-0.25,-1.41%,17.50,"5,270,500",17.75,17.95,17,0,"25,400","114,900"
#8,AAA,19-04-2021,17.85,-0.10,-0.56%,17.75,"6,182,100",18,18,17.30,0,"18,800","203,200"
#9,AAA,16-04-2021,17.90,-0.05,-0.28%,17.85,"4,901,000",17.50,18,16.90,0,"52,000","104,900"
#10,AAA,15-04-2021,17.85,0.05,0.28%,17.90,"6,317,100",17.95,18.20,17.55,0,"43,900","68,300"
#11,AAA,14-04-2021,17,0.85,5%,17.85,"9,230,800",16.70,17.95,16.60,0,"137,400","91,500"
#12,AAA,13-04-2021,17.50,-0.50,-2.86%,17,"5,387,000",17.50,17.60,16.80,0,"44,300","171,800"
#13,AAA,12-04-2021,17.50,0,0%,17.50,"3,123,700",17.60,17.90,17.35,"400,000","76,600","104,000"
#14,AAA,09-04-2021,16.80,0.70,4.17%,17.50,"7,489,300",16.90,17.70,16.90,0,"171,500","91,700"
#15,AAA,08-04-2021,16.50,0.30,1.82%,16.80,"5,698,900",16.55,16.90,16.55,0,"101,100","1,200"
#16,AAA,07-04-2021,16.40,0.10,0.61%,16.50,"2,505,300",16.20,16.50,16.05,0,"10,200","38,800"
#17,AAA,06-04-2021,16.55,-0.15,-0.91%,16.40,"2,265,400",16.45,16.55,16.20,0,"3,800","36,700"
#18,AAA,05-04-2021,16.65,-0.10,-0.60%,16.55,"2,805,900",16.70,16.80,16.40,0,"8,800","22,200"
#19,AAA,02-04-2021,16.65,0,0%,16.65,"3,652,000",16.75,16.90,16.45,0,"85,200","17,500"
#20,AAA,01-04-2021,16.60,0.05,0.30%,16.65,"2,744,300",16.50,16.70,16.45,0,"21,400","11,200"
#21,AAA,31-03-2021,16.45,0.15,0.91%,16.60,"2,755,000",16.40,16.70,16.30,0,"13,700","78,000"
#22,AAA,30-03-2021,16.25,0.20,1.23%,16.45,"3,733,700",16.30,16.70,16.20,0,"19,200","4,700"
#23,AAA,29-03-2021,15.95,0.30,1.88%,16.25,"4,219,700",16,16.40,15.85,"200,000","97,100","13,000"
#24,AAA,26-03-2021,15.90,0.05,0.31%,15.95,"3,849,300",15.85,16,14.90,0,"89,000","15,800"
#25,AAA,25-03-2021,15.70,0.20,1.27%,15.90,"2,824,100",15.70,15.90,15.45,0,"43,800","63,200"
#26,AAA,24-03-2021,16.35,-0.65,-3.98%,15.70,"3,844,300",15.90,16.25,15.55,0,"235,600","180,400"
#27,AAA,23-03-2021,16.70,-0.35,-2.10%,16.35,"3,335,400",16.70,16.75,16.10,0,"97,400","248,000"
#28,AAA,22-03-2021,16.70,0,0%,16.70,"2,836,500",16.70,16.85,16.50,0,"47,200","14,100"
#29,AAA,19-03-2021,16.70,0,0%,16.70,"2,546,400",16.70,17,16.55,0,"50,300",500
#30,AAA,18-03-2021,16.60,0.10,0.60%,16.70,"4,294,500",16.75,17.10,16.45,0,"105,800","16,200"
#31,AAA,17-03-2021,0,-0.40,-2.35%,16.60,"3,564,400",17,17.05,16.60,0,"28,600","40,600"
#32,AAA,16-03-2021,16.75,0.25,1.49%,17,"4,574,600",16.75,17.40,16.50,0,"57,800","189,400"
#33,AAA,15-03-2021,16.15,0.60,3.72%,16.75,"7,205,100",16.10,17.10,15.90,0,"132,000","118,900"
#34,AAA,12-03-2021,16.20,-0.05,-0.31%,16.15,"2,779,700",16.15,16.30,16,0,"92,600","171,200"
#35,AAA,11-03-2021,15.70,0.50,3.18%,16.20,"5,383,600",16.70,16.70,16.10,0,"92,600","171,200"
#36,AAA,10-03-2021,14.70,1,6.80%,15.70,"10,008,900",14.75,15.70,14.65,0,"222,600","112,300"
#37,AAA,09-03-2021,14.70,0,0%,14.70,"1,715,900",14.55,14.75,14.50,0,"54,400","32,800"
