STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,A32,29-04-2021,33.90,0,0%,33.90,0,33.90,33.90,33.90,0,0,0
#2,A32,28-04-2021,33.90,0,0%,33.90,0,33.90,33.90,33.90,0,0,0
#3,A32,27-04-2021,33.90,0,0%,33.90,0,33.90,33.90,33.90,0,0,0
#4,A32,26-04-2021,30.40,3.50,11.51%,33.90,800,33.90,33.90,33.90,0,0,0
#5,A32,23-04-2021,30.40,0,0%,30.40,0,30.40,30.40,30.40,0,0,0
#6,A32,22-04-2021,30.40,0,0%,30.40,0,30.40,30.40,30.40,0,0,0
#7,A32,20-04-2021,32.30,-2.30,-7.12%,30,"1,100",34.90,34.90,30,0,100,0
#8,A32,19-04-2021,32.30,0,0%,32.30,0,32.30,32.30,32.30,0,0,0
#9,A32,16-04-2021,32.30,0,0%,32.30,"1,800",32.30,32.30,32.30,0,0,0
#10,A32,15-04-2021,32.30,0,0%,32.30,0,32.30,32.30,32.30,0,0,0
#11,A32,14-04-2021,32.30,0,0%,32.30,0,32.30,32.30,32.30,0,0,0
#12,A32,13-04-2021,32.30,0,0%,32.30,0,32.30,32.30,32.30,0,0,0
#13,A32,12-04-2021,32.30,0,0%,32.30,0,32.30,32.30,32.30,0,0,0
#14,A32,09-04-2021,32.30,0,0%,32.30,0,32.30,32.30,32.30,0,0,0
#15,A32,08-04-2021,32.30,0,0%,32.30,0,32.30,32.30,32.30,0,0,0
#16,A32,07-04-2021,28.60,4.20,14.69%,32.80,700,31,32.80,31,0,0,0
#17,A32,06-04-2021,28.60,0,0%,28.60,0,28.60,28.60,28.60,0,0,0
#18,A32,05-04-2021,30.30,-1.70,-5.61%,28.60,100,28.60,28.60,28.60,0,0,0
#19,A32,02-04-2021,30.10,0.20,0.66%,30.30,100,30.30,30.30,30.30,0,0,0
#20,A32,01-04-2021,30,0.10,0.33%,30.10,100,30.10,30.10,30.10,0,0,0
#21,A32,31-03-2021,30.30,-0.30,-0.99%,30,"1,000",30.10,30.10,25.80,"4,300",0,0
#22,A32,30-03-2021,30.30,0,0%,30.30,0,30.30,30.30,30.30,0,0,0
#23,A32,29-03-2021,30.20,0,0%,30.20,"1,000",30.50,30.50,30.20,0,0,0
#24,A32,26-03-2021,34.80,-4.20,-12.07%,30.60,700,30,30.60,30,0,0,0
#25,A32,25-03-2021,34.80,0,0%,34.80,0,34.80,34.80,34.80,0,0,0
#26,A32,24-03-2021,34.80,0,0%,34.80,0,34.80,34.80,34.80,0,0,0
#27,A32,23-03-2021,34.80,0,0%,34.80,200,34.80,34.80,34.80,0,0,0
