Tiêu đề,Q1/2021,% Q1/2020,Q4/2020,% Q4/2019,Q3/2020,% Q3/2019,Q2/2020,% Q2/2019,Q1/2020,% Q1/2019,Q4/2019,% Q4/2018,Q3/2019,% Q3/2018,Q2/2019,% Q2/2018
Doanh thu,29.978120725,-27.196848522926135,31.677033113,-52.38927309443733,26.021219101,-52.75130442318614,23.776038207,-52.27269751419905,41.176954729,-23.91572327888193,66.533395249,16.756350002785354,55.072883565,7.87992188799848,49.816429944,-4.12981936297832
Các khoản giảm trừ,,,,,1.76472252,,,,,,,,,,,
Doanh thu thuần,29.978120725,-27.196848522926135,31.677033113,-52.38927309443733,24.256496581,-55.955644573483845,23.776038207,-52.27269751419905,41.176954729,-7.879941224553051,66.533395249,16.80948535782077,55.072883565,7.87992188799848,49.816429944,-4.12981936297832
Giá vốn hàng bán,29.298515304,-18.923669509570193,36.572380193,-42.41662049036309,25.457643826,-50.86205401168014,22.572548501,-48.61349984308146,36.136952828,1.1251778017108451,63.512042024,17.558359316222386,51.808522546,11.901402234473432,43.927001123,-8.198341655805534
Lợi nhuận gộp,0.679605421,-86.51577054236512,-4.89534708,-262.0249840201984,-1.201147245,-136.79578447386186,1.203489706,-79.56525594283941,5.040001901,-43.77730959961326,3.021353225,3.01486690110509,3.264361019,-31.302678243431043,5.889428821,43.20858335106657
Thu nhập tài chính,0.204789405,-68.35872263648466,0.814952538,-59.65621229685958,0.208617692,768.839775793378,1.331517777,-52.29747887391382,0.647222306,22.091409143739433,2.020019895,-27.097710070679447,0.024011066,-97.6690160589004,2.79129435,-11.841380354701773
Chi phí tài chính,0.076808035,691.2992051880722,0.056601664,-140.05066954189,0.081479465,-35.39759639105832,0.077448329,-45.478785087657855,0.009706573,6.566015703781086,0.141325138,-150.83227522934013,0.12612451,493.19999446893235,0.14205173,1292.7860932124834
Chi phí tiền lãi,0.04608166,417.8154458963031,0.07999686,-40.732003307284025,0.076783735,418.3267662451894,0.050214606,,0.008899244,,0.1349748,,0.01481377,,,
Lãi/lỗ từ công ty liên doanh,,,,,,,,,,,,,,,,
Chi phí bán hàng,0.798185666,-72.92619055484828,2.315746691,-10.890562819353336,1.608785635,102.130935286859,1.309955672,-60.31532774786499,2.948183807,8.786973349556899,2.598767049,-3.3454888385696364,0.795912626,-35.42681088999344,3.3009109,374.75096618959884
Chi phí quản lý doanh nghiệp,1.708112524,-21.647978601957018,1.716299945,10.812788736553657,2.105197222,-14.431501415610576,1.865174182,-25.990195980935678,2.180049083,-34.62865887385418,1.548828402,-38.448632885710104,2.460247938,41.246054533377674,2.520171762,18.772514974064325
Lãi/lỗ từ hoạt động kinh doanh,-1.698711399,-409.2587983838124,-8.169042842,-889.2011099531295,-4.787991875,4998.327639215061,-0.7175707,-126.40468291394869,0.549284744,-84.03445308758909,1.035102807,368.9453727148098,-0.093912989,-103.3706090358103,2.717588779,-38.94926905843427
Thu nhập khác,0.595648855,188.88082170056146,0.5627193,,0.434289379,-49.98931601491122,,,0.2061919,-50.84559857727938,,,0.8683932,422.9394194869324,1.948966275,-1297.7358621012825
Chi phí khác,,,,,-0.073205071,,,,,,-3.9142e-05,-99.94837282261074,,,-0.071836089,-144.14681828622173
"Thu nhập khác, ròng",0.595648855,188.88082170056146,0.5627193,-1437735.532164938,0.361084308,-58.419261228669214,,,0.2061919,-50.84559857727938,-3.9142e-05,-100.00373261559345,0.8683932,422.9394194869324,1.877130186,
Lãi/lỗ từ công ty liên doanh,,,,,,,,,,,,,,,,
LỢI NHUẬN TRƯỚC THUẾ,-1.103062544,-246.0088214189716,-7.606323542,-834.8652840596042,-4.426907567,-671.597247305264,-0.7175707,-115.61729249310027,0.755476644,-80.42764032611241,1.035063665,-18.458985997555903,0.774480211,-73.76681575807098,4.594718965,3.220528967427115
Thuế thu nhập doanh nghiệp – hiện thời,,,,,,,0.089671229,-110.73079903097103,0.089671229,-87.38018711268325,0.013782912,-98.63649054734532,0.158250042,-67.86176912922588,0.835643541,56.338921559254175
Thuế thu nhập doanh nghiệp – hoãn lại,,,0.00411302,-97.96243653854181,,,0.032878728,-190.71652854807573,,,0.201859725,-196.00365251924774,,,0.036243371,-328.6456008015984
Chi phí thuế thu nhập doanh nghiệp,,,0.00411302,-98.0926684735357,,,0.122549957,-114.05571701023538,0.089671229,-87.38018711268325,0.215642637,-73.06414533462126,0.158250042,-67.86176912922588,0.871886912,68.10493409790483
LỢI NHUẬN SAU THUẾ TNDN,-1.103062544,-265.6734113524745,-7.610436562,-1028.7577816467751,-4.426907567,-818.3854004071002,-0.595020743,-115.98301332235789,0.665805415,-78.85900408011743,0.819421028,74.79134045937535,0.616230169,-74.94884961635005,3.722832053,-5.33661087807317
Lợi ích của cổ đông thiểu số,,,,,,,,,,,,,,,,
Lợi nhuận của Cổ đông của Công ty mẹ,-1.103062544,-265.6734113524745,-7.610436562,-1028.7577816467751,-4.426907567,-818.3854004071002,-0.595020743,-115.98301332235789,0.665805415,-78.85900408011743,0.819421028,74.79134045937535,0.616230169,-74.94884961635005,3.722832053,-5.33661087807317
EPS 4QGN (đ),-106.0,-300.0,-728.0,-191.6876574307305,-385.0,-885.7142857142858,-55.0,-117.35015772870663,53.0,-84.77011494252874,794.0,1520.408163265306,49.0,-77.72727272727272,317.0,-10.198300283286118
