STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,AAV,29-04-2021,15,0,0%,15,"317,010",15.20,15.20,14.70,0,0,0
#2,AAV,29-04-2021,15,0,0%,15,"317,010",15.20,15.20,14.70,0,0,0
#3,AAV,28-04-2021,14.70,0.30,2.04%,15,"323,000",14.70,15.20,14.30,0,0,0
#4,AAV,27-04-2021,14.80,-0.10,-0.68%,14.70,"202,000",14.90,14.90,14.20,0,0,0
#5,AAV,26-04-2021,14.90,-0.10,-0.67%,14.80,"285,600",14.90,15,14.50,0,100,0
#6,AAV,23-04-2021,14.80,0.10,0.68%,14.90,"228,616",14.90,15,14.40,0,0,0
#7,AAV,22-04-2021,15,-0.20,-1.33%,14.80,"432,150",15,15,14.40,0,0,0
#8,AAV,20-04-2021,14.80,0.20,1.35%,15,"418,750",14.80,15.10,14.60,0,0,0
#9,AAV,19-04-2021,15.20,-0.40,-2.63%,14.80,"276,076",15,15,14.60,0,0,0
#10,AAV,16-04-2021,15.30,-0.10,-0.65%,15.20,"445,874",15.30,15.80,14.60,0,0,0
#11,AAV,15-04-2021,15.50,-0.20,-1.29%,15.30,"789,300",15.50,15.60,14.80,0,0,300
#12,AAV,14-04-2021,15.80,-0.30,-1.90%,15.50,"384,000",15.80,15.80,15.30,0,0,0
#13,AAV,13-04-2021,16.20,-0.40,-2.47%,15.80,"595,954",16.20,16.20,15.60,0,0,0
#14,AAV,12-04-2021,16.50,-0.30,-1.82%,16.20,"304,901",16.50,16.60,16.10,0,0,0
#15,AAV,09-04-2021,16.40,0.10,0.61%,16.50,"326,350",16.40,16.90,16.10,0,0,0
#16,AAV,08-04-2021,16.60,-0.20,-1.20%,16.40,"214,400",16.50,16.80,16.40,0,0,0
#17,AAV,07-04-2021,16.80,-0.20,-1.19%,16.60,"300,208",16.50,16.80,16.50,0,0,0
#18,AAV,06-04-2021,16.90,-0.10,-0.59%,16.80,"343,100",16.70,16.80,16.40,0,0,0
