STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,AAT,29-04-2021,16.90,-0.15,-0.89%,16.75,"213,900",16.90,17,16.75,0,0,0
#2,AAT,28-04-2021,16.80,0.10,0.60%,16.90,"375,200",16.35,17.20,16.35,0,0,0
#3,AAT,27-04-2021,16.80,0,0%,16.80,"282,200",16.80,17.50,16.60,0,0,0
#4,AAT,26-04-2021,17.10,-0.30,-1.75%,16.80,"858,400",17.60,17.85,16.50,0,0,0
#5,AAT,23-04-2021,16,1.10,6.88%,17.10,"878,100",15.90,17.10,15.90,0,0,0
#6,AAT,22-04-2021,16.80,-0.80,-4.76%,16,"730,200",17.20,17.80,16,0,"3,300",0
#7,AAT,20-04-2021,16.20,0.60,3.70%,16.80,"771,600",16,17.30,15.95,0,0,0
#8,AAT,19-04-2021,16.50,-0.30,-1.82%,16.20,"509,900",16.90,16.90,16,0,0,0
#9,AAT,16-04-2021,15.90,0.60,3.77%,16.50,"370,600",16.50,16.50,15.90,0,500,"2,000"
#10,AAT,15-04-2021,15.55,0.35,2.25%,15.90,"770,300",15.60,16.20,15.40,0,400,0
#11,AAT,14-04-2021,15.65,-0.10,-0.64%,15.55,"997,300",15.50,15.85,15.50,0,"1,000",0
#12,AAT,13-04-2021,15.05,0.60,3.99%,15.65,"1,149,700",15.85,15.90,15.10,0,"6,200",400
#13,AAT,12-04-2021,14.10,0.95,6.74%,15.05,"942,700",14.35,15.05,14.35,0,0,0
