Tiêu đề,Q4/2020,% Q4/2019,Q3/2020,% Q3/2019,Q2/2020,% Q2/2019,Q1/2020,% Q1/2019,Q4/2019,% Q4/2018,Q3/2019,% Q3/2018,Q2/2019,% Q2/2018,Q1/2019,% Q1/2018
TỔNG TÀI SẢN,48432.4806736,8.350375526497702,50396.4575169,25.671144692918514,49596.8099462,23.416669724981013,46073.727019,20.28041282709602,44699.873386,19.62678211870927,40101.8528478,17.855006253755658,40186.4756655,11.062894074480347,38305.2617929,8.425277346152784
TÀI SẢN NGẮN HẠN,29665.7258051,19.999382535783333,31541.3196338,42.42223795461496,30073.376342,36.14470224593134,26461.6387212,20.059525173576958,24721.5653766,20.242499088571954,22146.3446206,20.62203061608923,22089.2740194,6.103151023510719,22040.4325962,10.340979942868167
Tiền và tương đương tiền,2111.24281558,-20.784666713578662,2335.88148158,123.85627263920642,2176.66735725,29.83469522436522,1379.71186688,14.105515365113162,2665.19463845,75.04116910820709,1043.47376736,65.42472028248704,1676.49129032,24.79137000973993,1209.15440631,114.62017666830329
Giá trị thuần đầu tư ngắn hạn,17313.6797749,39.22511847179679,17872.0026646,74.56049703785766,16363.0607383,75.82340718953003,14370.2886085,48.65539016970638,12435.744329,43.36925360306753,10238.2858481,31.727870296188577,9306.53147943,1.0396583959983774,9666.84665258,0.05130556022330895
Các khoản phải thu,5187.25317215,15.191537585651464,5976.86334962,4.862722705662423,5674.69083639,5.2565416493890575,4711.71353785,-14.654183783252412,4503.15472896,-2.9377023748248576,5699.70261634,4.377290641717889,5391.29516082,4.700762479616426,5520.73170861,6.6603698768007344
"Hàng tồn kho, ròng",4905.06861362,-1.5648223049880698,5246.48987773,5.126700333821101,5696.22187252,2.8026366507992613,5733.79340334,7.096918478934253,4983.04440392,-9.822958501250897,4990.63497767,15.519332873460618,5540.9297447,13.410035832815414,5353.83602514,22.427466615987363
Tài sản lưu động khác,148.481428818,10.45483695646516,110.082260219,-36.8241631074946,162.735537477,-6.487987066671705,266.131304574,-8.18746551710599,134.42727626,-32.08198955634304,174.247411089,-1.099606196544297,174.02634418,-24.16552144552135,289.863803535,44.57261476437316
TÀI SẢN DÀI HẠN,18766.7548686,-6.064343088132824,18855.1378832,5.010326884744995,19523.4336042,7.880953011954952,19612.0882978,20.579737177806525,19978.3080095,18.8735555268335,17955.5082272,14.61219603522952,18097.201646,17.783121537598483,16264.8291967,5.9330181640035295
Phải thu dài hạn,19.974111715,-5.648838126699401,18.819937295,-7.127033101611775,19.451127295,-71.120052818257,19.717282895,-77.48009042052118,21.169968995,-76.06377988643646,20.264171506,-82.54078953546478,67.351671984,-40.96872694900885,87.554893706,-9.248176790193746
Phải thu khách hang dài hạn,,,,,,,,,,,,,46.42321194,-49.34554973821989,67.547427662,-6.99737774862138
Trả trước người bán dài hạn,,,,,,,,,,,,,,,,
Vốn kinh doanh ở các đơn vị trực thuộc,,,,,,,,,,,,,,,,
Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,
Phải thu về cho vay dài hạn,,,,,0.123328,-93.09973257776599,0.30832,-87.33426883894893,0.545312,-82.65276463540742,1.148421511,-71.59782593532023,1.787293049,-51.72528661153586,2.434285049,-54.87920295308283
Phải thu dài hạn khác,19.974111715,-3.1542113895892183,18.819937295,-1.5474815274178446,19.327799295,0.9750309375010989,19.408962895,10.446497424241644,20.624656995,16.91106609137582,19.115749995,1.162705674712877,19.141166995,2.1096172267356645,17.573180995,-4.766078281996755
Dự phòng phải thu dài hạn,,,,,,,,,,,,,,,,
Tài sản cố định,13853.807867,-6.981096062937117,13954.302485,4.083952702752872,14315.8823503,8.366328397099014,14589.5913463,11.45114322117456,14893.5402167,11.433940795273115,13406.7760905,15.361284371069308,13210.6370697,19.069274904718036,13090.5712805,23.89597510578805
Tài sản dở dang dài hạn,1062.63351996,12.585530314519936,1259.27474574,-3.9063920152380542,1142.83939781,-18.190238483961682,1037.74652598,-5.415867083138149,943.845551903,8.707173341509472,1310.46671277,-37.217039038452945,1396.94747501,-42.40009035810374,1097.16766859,-52.99110937236006
Đầu tư dài hạn,973.440912476,-1.3414103573164164,767.256144971,-62.140154863719346,1074.17790196,-45.02132935903512,922.935784641,46.12379395464629,986.676290429,-7.671696457573361,2026.56968672,200.36570887324717,1953.8084305,241.42378332727438,631.612251272,-45.81128813449759
