STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,PAN,15-04-2021,30.50,0,0%,30.50,0,0,0,0,0,0,0
#2,PAN,14-04-2021,30.50,0,0%,30.50,0,0,0,0,0,0,0
#3,PAN,13-04-2021,30.50,0,0%,30.50,0,0,0,0,0,0,"2,600"
#4,PAN,12-04-2021,30.10,0.40,1.33%,30.50,"1,837,100",30.80,31,30.10,0,0,"2,600"
#5,PAN,09-04-2021,29.30,0.80,2.73%,30.10,"2,126,100",29.45,30.40,29.30,"800,000","19,300","4,200"
#6,PAN,08-04-2021,28.80,0.50,1.74%,29.30,"1,493,700",28.80,29.50,28.80,0,"1,600","2,800"
#7,PAN,07-04-2021,28.80,0,0%,28.80,"381,800",28.60,28.80,28.20,0,0,"7,700"
#8,PAN,06-04-2021,28.25,0.55,1.95%,28.80,"849,200",28.10,28.80,27.85,"500,000",300,"30,600"
#9,PAN,05-04-2021,28.75,-0.50,-1.74%,28.25,"735,800",29,29.40,28.20,0,0,"17,900"
#10,PAN,02-04-2021,28.75,0,0%,28.75,"708,800",29.50,29.50,28.65,0,0,100
#11,PAN,01-04-2021,28.30,0.45,1.59%,28.75,"882,800",28.40,29,28.30,0,"7,200","2,700"
#12,PAN,31-03-2021,28,0.30,1.07%,28.30,"889,500",28,28.95,27.80,0,"17,100","6,200"
#13,PAN,30-03-2021,28,0,0%,28,"634,700",28,28.50,27.80,0,"2,000",0
#14,PAN,29-03-2021,27.50,0.50,1.82%,28,"894,700",27.50,28,27.20,0,0,"116,700"
#15,PAN,26-03-2021,27.85,-0.35,-1.26%,27.50,"840,000",27.80,28,26,"1,000,000",0,"17,900"
#16,PAN,25-03-2021,27.80,0.05,0.18%,27.85,"823,400",27.60,28.40,27.50,"450,000",700,"139,200"
#17,PAN,24-03-2021,28.75,-0.95,-3.30%,27.80,"1,253,700",28,28.75,27,0,"6,500","124,300"
#18,PAN,23-03-2021,29.75,-1,-3.36%,28.75,"1,595,500",29.40,29.60,28.50,"800,000","9,200","27,500"
#19,PAN,22-03-2021,30.20,-0.45,-1.49%,29.75,"1,247,700",29.75,30.50,29.30,0,400,"153,900"
#20,PAN,19-03-2021,29.90,0.30,1.00%,30.20,"1,568,300",29.90,30.90,29.60,0,"51,700","32,200"
#21,PAN,18-03-2021,27.95,1.95,6.98%,29.90,"3,730,500",28.40,29.90,28.10,"1,200,000","53,600","46,500"
#22,PAN,17-03-2021,0,0.45,1.64%,27.95,"966,100",27.60,28.10,27.50,"5,025,875","8,800","12,600"
#23,PAN,16-03-2021,27.55,-0.05,-0.18%,27.50,"800,200",27.55,27.70,26.80,"700,000","8,800","12,600"
#24,PAN,15-03-2021,27.50,0.05,0.18%,27.55,"655,700",27.60,28.10,27,"500,000","2,500","11,200"
#25,PAN,12-03-2021,28.15,-0.65,-2.31%,27.50,"1,028,300",28.10,28.20,27.40,0,"26,700","38,100"
#26,PAN,11-03-2021,27.90,0.25,0.90%,28.15,"1,133,500",28.40,28.80,27.95,0,"1,400","84,700"
#27,PAN,10-03-2021,27.40,0.50,1.82%,27.90,"1,279,700",27.50,28.20,27.50,0,"17,000",0
#28,PAN,09-03-2021,26.35,1.05,3.98%,27.40,"1,318,900",26.35,27.80,26,0,"34,100","7,800"
#29,PAN,08-03-2021,26.25,0.10,0.38%,26.35,"706,100",26.70,27,26,0,"1,900","8,500"
#30,PAN,05-03-2021,26.80,-0.55,-2.05%,26.25,"831,200",26.50,26.75,25.70,0,"3,900","43,300"
#31,PAN,04-03-2021,27.60,-0.80,-2.90%,26.80,"644,200",27.60,28,25.70,0,"2,500","50,500"
#32,PAN,03-03-2021,27.60,0,0%,27.60,"615,400",27.60,28.15,27.30,0,100,"86,700"
#33,PAN,02-03-2021,28.10,-0.50,-1.78%,27.60,"567,600",28.30,28.45,27.40,"20,000","1,300","54,100"
#34,PAN,01-03-2021,27,1.10,4.07%,28.10,"840,600",27.40,28.30,27,0,"25,100","104,600"
#35,PAN,26-02-2021,27,0,0%,27,"677,200",26.35,27.30,26.30,0,"13,500","51,200"
#36,PAN,25-02-2021,27.30,-0.30,-1.10%,27,"871,900",27.30,27.50,26.50,0,"16,000","44,000"
#37,PAN,24-02-2021,28.30,-1,-3.53%,27.30,"1,461,200",28.30,28.30,26.50,0,"3,400","83,900"
#38,PAN,23-02-2021,28.70,-0.40,-1.39%,28.30,"851,300",28.80,28.80,27.80,0,"1,300","63,100"
#39,PAN,22-02-2021,28.70,0,0%,28.70,"1,167,600",28.70,29.90,28.50,0,"2,000","77,700"
#40,PAN,19-02-2021,26.85,1.85,6.89%,28.70,"2,077,700",26.85,28.70,26.35,"30,000",0,"1,840"
#41,PAN,18-02-2021,26.35,0.50,1.90%,26.85,"919,600",26.35,27.60,26.05,0,"1,890",0
#42,PAN,17-02-2021,25.50,0.85,3.33%,26.35,"778,900",26.35,26.35,25.50,0,"18,900",0
#43,PAN,09-02-2021,24.60,0.90,3.66%,25.50,"693,200",25.50,25.50,24.50,0,410,"3,010"
#44,PAN,08-02-2021,26.30,-1.70,-6.46%,24.60,"968,700",26.30,26.30,24.50,0,"4,100","30,100"
#45,PAN,05-02-2021,26,0.30,1.15%,26.30,"550,800",26,26.30,25.50,0,0,"36,500"
#46,PAN,04-02-2021,25.55,0.45,1.76%,26,"1,003,400",25.80,26.80,25.10,0,"1,100","100,200"
#47,PAN,03-02-2021,23.90,1.65,6.90%,25.55,"1,175,700",24.40,25.55,24,0,"1,000","52,400"
#48,PAN,02-02-2021,23.26,0.64,2.74%,23.90,"1,012,000",23.02,24.10,22.43,0,"76,000","2,000"
#49,PAN,01-02-2021,24.98,-1.71,-6.86%,23.26,"1,314,600",24.49,25.03,23.26,0,"64,100","1,500"
#50,PAN,29-01-2021,25.03,-0.05,-0.20%,24.98,"1,619,600",23.31,25.52,23.31,0,"88,800","3,200"
#51,PAN,28-01-2021,26.89,-1.86,-6.92%,25.03,"591,000",25.03,25.03,25.03,0,"4,500",0
#52,PAN,27-01-2021,28.90,-2.01,-6.95%,26.89,"1,130,400",28.01,29.29,26.89,"50,000","77,700",0
#53,PAN,26-01-2021,30.37,-1.47,-4.84%,28.90,"917,200",30.37,30.37,28.26,0,"15,600","16,400"
#54,PAN,25-01-2021,30.76,-0.39,-1.27%,30.37,"823,500",30.37,31.05,29.48,0,"58,800","9,600"
#55,PAN,22-01-2021,30.86,-0.10,-0.32%,30.76,"1,059,200",31.34,31.54,30.37,0,"81,500","52,200"
#56,PAN,21-01-2021,30.37,0.49,1.61%,30.86,"1,842,500",30.86,32.13,30.56,0,"179,000","133,200"
#57,PAN,20-01-2021,31.10,-0.73,-2.36%,30.37,"2,242,100",31.15,31.15,28.95,0,"179,000","133,200"
#58,PAN,19-01-2021,33.40,-2.30,-6.89%,31.10,"1,628,500",33.30,33.30,31.10,"20,000",0,"50,600"
#59,PAN,18-01-2021,34.58,-1.18,-3.40%,33.40,"1,636,000",34.58,34.58,32.81,0,0,"81,800"
#60,PAN,15-01-2021,35.02,-0.44,-1.26%,34.58,"1,131,800",35.85,35.85,34.53,0,"15,500","45,100"
#61,PAN,14-01-2021,33.89,1.13,3.32%,35.02,"2,542,500",33.99,35.95,33.89,"20,000","52,300","33,800"
#62,PAN,13-01-2021,33.35,0.54,1.62%,33.89,"2,434,300",33.79,34.58,33.60,0,"98,500","20,600"
#63,PAN,12-01-2021,33.35,0,0%,33.35,"1,250,300",33.40,33.50,32.81,0,0,"8,500"
#64,PAN,11-01-2021,33.30,0.05,0.15%,33.35,"2,127,500",33.35,34.19,32.81,0,0,"8,500"
#65,PAN,08-01-2021,33.60,-0.29,-0.87%,33.30,"1,172,700",34.04,34.38,33.01,0,0,"60,400"
#66,PAN,07-01-2021,33.50,0.10,0.29%,33.60,"1,988,300",33.60,34.72,32.62,"30,000","56,600","104,700"
#67,PAN,06-01-2021,33.50,0,0%,33.50,"2,639,800",33.79,33.89,32.32,0,"28,500","286,200"
#68,PAN,05-01-2021,33.79,-0.29,-0.87%,33.50,"1,631,000",33.30,34.38,33.30,0,"44,500","5,500"
#69,PAN,04-01-2021,33.99,-0.20,-0.58%,33.79,"1,397,000",34.68,36.24,33.79,0,"8,100","63,600"
#70,PAN,31-12-2020,31.83,2.15,6.77%,33.99,"2,316,730",31.64,34.04,30.90,0,"19,620","19,820"
#71,PAN,30-12-2020,32.37,-0.54,-1.66%,31.83,"1,384,000",31.83,32.62,31.54,0,"62,140","1,090"
#72,PAN,29-12-2020,30.27,2.11,6.96%,32.37,"1,852,630",32.37,32.37,30.56,"102,100","88,450","30,820"
#73,PAN,28-12-2020,28.31,1.96,6.92%,30.27,"2,075,070",29.88,30.27,28.99,0,"88,450","30,820"
#74,PAN,25-12-2020,26.50,1.81,6.84%,28.31,"1,875,470",28.31,28.31,26.50,0,"2,870","8,160"
#75,PAN,24-12-2020,27.18,-0.69,-2.52%,26.50,"1,476,500",27.38,27.38,25.47,0,"2,870","8,160"
#76,PAN,23-12-2020,28.16,-0.98,-3.48%,27.18,"1,661,190",28.01,28.50,27.03,0,"8,220","22,120"
#77,PAN,22-12-2020,27.04,1.13,4.17%,28.16,"2,008,340",26.94,28.50,26.64,0,0,0
#78,PAN,21-12-2020,26.50,0.54,2.03%,27.04,"2,640,130",26.55,27.33,25.81,"1,470,986","20,390","47,480"
#79,PAN,18-12-2020,24.78,1.71,6.92%,26.50,"1,540,870",26.50,26.50,24.78,0,"54,020",0
#80,PAN,17-12-2020,24.29,0.49,2.02%,24.78,"1,557,300",24.49,25.81,24.49,0,"54,880","3,740,675"
#81,PAN,16-12-2020,22.73,1.57,6.90%,24.29,"5,177,740",22.82,24.29,22.82,"20,675","54,880","3,720,000"
#82,PAN,15-12-2020,22.48,0.24,1.09%,22.73,"2,321,680",22.73,23.02,22.53,0,"19,390","722,110"
#83,PAN,14-12-2020,21.84,0.64,2.91%,22.48,"1,593,410",21.89,23.12,21.89,0,"19,390","722,110"
#84,PAN,11-12-2020,22.24,-0.39,-1.76%,21.84,"1,809,460",21.99,22.24,21.50,0,"15,120","928,940"
#85,PAN,10-12-2020,22.63,-0.39,-1.73%,22.24,"1,260,610",22.24,23.12,22.24,0,0,"87,690"
#86,PAN,09-12-2020,21.99,0.64,2.90%,22.63,"1,192,910",23.26,23.31,22.53,0,"1,480","1,224,520"
#87,PAN,08-12-2020,20.57,1.42,6.90%,21.99,"1,929,250",20.57,21.99,20.37,0,"1,480","1,224,520"
#88,PAN,07-12-2020,20.28,0.29,1.45%,20.57,"900,280",20.57,21.06,20.18,0,"21,540","862,480"
#89,PAN,04-12-2020,20.18,0.10,0.49%,20.28,"1,685,020",20.18,21.06,20.18,0,"6,350","1,610,260"
#90,PAN,03-12-2020,20.28,-0.10,-0.48%,20.18,"374,410",20.18,20.47,20.08,0,"3,540",0
#91,PAN,02-12-2020,20.47,-0.20,-0.96%,20.28,"46,820",20.28,20.67,19.88,0,"5,100",0
#92,PAN,01-12-2020,20.18,0.29,1.46%,20.47,"80,100",20.47,20.47,19.64,0,210,0
#93,PAN,30-11-2020,20.67,-0.49,-2.37%,20.18,"110,460",20.67,20.77,20.18,0,210,0
#94,PAN,27-11-2020,20.96,-0.29,-1.40%,20.67,"105,520",20.96,20.96,20.62,0,"9,110",0
#95,PAN,26-11-2020,20.96,0,0%,20.96,"134,360",20.62,21.26,20.62,0,"3,000",0
#96,PAN,25-11-2020,20.86,0.10,0.47%,20.96,"176,220",20.96,21.06,20.81,0,"14,570",0
#97,PAN,24-11-2020,20.77,0.10,0.47%,20.86,"188,470",20.86,21.01,20.67,0,"4,400",0
#98,PAN,23-11-2020,19.98,0.78,3.92%,20.77,"352,750",19.98,20.96,19.69,0,"4,400",0
#99,PAN,20-11-2020,19.93,0.05,0.25%,19.98,"73,880",19.93,19.98,19.69,0,"2,030",0
#100,PAN,19-11-2020,19.88,0.05,0.25%,19.93,"114,340",19.88,20.03,19.69,0,450,0
#101,PAN,18-11-2020,19.49,0.39,2.01%,19.88,"184,690",19.49,20.03,19.49,0,"1,550",0
#102,PAN,17-11-2020,19.39,0.10,0.50%,19.49,"64,820",19.39,19.69,19.39,0,"1,550",0
#103,PAN,16-11-2020,18.81,0.59,3.13%,19.39,"184,450",18.90,19.59,18.90,0,"2,120",0
#104,PAN,13-11-2020,18.81,0,0%,18.81,"110,900",18.81,18.90,18.71,0,0,"77,550"
#105,PAN,12-11-2020,18.61,0.20,1.05%,18.81,"13,900",18.66,18.90,18.66,0,520,0
#106,PAN,11-11-2020,18.61,0,0%,18.61,"60,940",18.61,18.81,18.61,0,120,0
#107,PAN,10-11-2020,18.71,-0.10,-0.52%,18.61,"189,510",18.81,18.90,18.61,0,520,"150,160"
#108,PAN,09-11-2020,18.76,-0.05,-0.26%,18.71,"44,250",18.76,18.86,18.61,0,0,0
#109,PAN,06-11-2020,18.71,0.05,0.26%,18.76,"67,760",18.71,19.49,18.61,0,0,"21,500"
#110,PAN,05-11-2020,19.00,-0.29,-1.55%,18.71,"35,750",19.00,19.20,18.61,0,0,0
#111,PAN,04-11-2020,18.71,0.29,1.57%,19.00,"27,840",18.71,19.10,18.51,0,0,140
