STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,PAN,31-03-2021,28,0.30,1.07%,28.30,"889,500",28,28.95,27.80,0,"17,100","6,200"
#2,PAN,30-03-2021,28,0,0%,28,"634,700",28,28.50,27.80,0,"2,000",0
#3,PAN,29-03-2021,27.50,0.50,1.82%,28,"894,700",27.50,28,27.20,0,0,"116,700"
#4,PAN,26-03-2021,27.85,-0.35,-1.26%,27.50,"840,000",27.80,28,26,"1,000,000",0,"17,900"
#5,PAN,25-03-2021,27.80,0.05,0.18%,27.85,"823,400",27.60,28.40,27.50,"450,000",700,"139,200"
#6,PAN,24-03-2021,28.75,-0.95,-3.30%,27.80,"1,253,700",28,28.75,27,0,"6,500","124,300"
#7,PAN,23-03-2021,29.75,-1,-3.36%,28.75,"1,595,500",29.40,29.60,28.50,"800,000","9,200","27,500"
#8,PAN,22-03-2021,30.20,-0.45,-1.49%,29.75,"1,247,700",29.75,30.50,29.30,0,400,"153,900"
#9,PAN,19-03-2021,29.90,0.30,1.00%,30.20,"1,568,300",29.90,30.90,29.60,0,"51,700","32,200"
#10,PAN,18-03-2021,27.95,1.95,6.98%,29.90,"3,730,500",28.40,29.90,28.10,"1,200,000","53,600","46,500"
#11,PAN,17-03-2021,0,0.45,1.64%,27.95,"966,100",27.60,28.10,27.50,"5,025,875","8,800","12,600"
#12,PAN,16-03-2021,27.55,-0.05,-0.18%,27.50,"800,200",27.55,27.70,26.80,"700,000","8,800","12,600"
#13,PAN,15-03-2021,27.50,0.05,0.18%,27.55,"655,700",27.60,28.10,27,"500,000","2,500","11,200"
#14,PAN,12-03-2021,28.15,-0.65,-2.31%,27.50,"1,028,300",28.10,28.20,27.40,0,"26,700","38,100"
#15,PAN,11-03-2021,27.90,0.25,0.90%,28.15,"1,133,500",28.40,28.80,27.95,0,"1,400","84,700"
#16,PAN,10-03-2021,27.40,0.50,1.82%,27.90,"1,279,700",27.50,28.20,27.50,0,"17,000",0
#17,PAN,09-03-2021,26.35,1.05,3.98%,27.40,"1,318,900",26.35,27.80,26,0,"34,100","7,800"
#18,PAN,08-03-2021,26.25,0.10,0.38%,26.35,"706,100",26.70,27,26,0,"1,900","8,500"
#19,PAN,05-03-2021,26.80,-0.55,-2.05%,26.25,"831,200",26.50,26.75,25.70,0,"3,900","43,300"
#20,PAN,04-03-2021,27.60,-0.80,-2.90%,26.80,"644,200",27.60,28,25.70,0,"2,500","50,500"
#21,PAN,03-03-2021,27.60,0,0%,27.60,"615,400",27.60,28.15,27.30,0,100,"86,700"
#22,PAN,02-03-2021,28.10,-0.50,-1.78%,27.60,"567,600",28.30,28.45,27.40,"20,000","1,300","54,100"
#23,PAN,01-03-2021,27,1.10,4.07%,28.10,"840,600",27.40,28.30,27,0,"25,100","104,600"
#24,PAN,26-02-2021,27,0,0%,27,"677,200",26.35,27.30,26.30,0,"13,500","51,200"
#25,PAN,25-02-2021,27.30,-0.30,-1.10%,27,"871,900",27.30,27.50,26.50,0,"16,000","44,000"
#26,PAN,24-02-2021,28.30,-1,-3.53%,27.30,"1,461,200",28.30,28.30,26.50,0,"3,400","83,900"
#27,PAN,23-02-2021,28.70,-0.40,-1.39%,28.30,"851,300",28.80,28.80,27.80,0,"1,300","63,100"
#28,PAN,22-02-2021,28.70,0,0%,28.70,"1,167,600",28.70,29.90,28.50,0,"2,000","77,700"
#29,PAN,19-02-2021,26.85,1.85,6.89%,28.70,"2,077,700",26.85,28.70,26.35,"30,000",0,"1,840"
#30,PAN,18-02-2021,26.35,0.50,1.90%,26.85,"919,600",26.35,27.60,26.05,0,"1,890",0
#31,PAN,17-02-2021,25.50,0.85,3.33%,26.35,"778,900",26.35,26.35,25.50,0,"18,900",0
#32,PAN,09-02-2021,24.60,0.90,3.66%,25.50,"693,200",25.50,25.50,24.50,0,410,"3,010"
