STT,Ma_cty,Ngay,Gia_tham_chieu,Len_xuong,Phan_tram,Dong_cua,Khoi_luong,Mo_cua,Cao_nhat,Thap_nhat,Giao_dich_thoa_thuan,Nuoc_ngoai_mua,Nuoc_ngoai_ban
#1,ABR,29-04-2021,22.10,1.70,7.69%,23.80,100,23.80,23.80,23.80,0,0,0
#2,ABR,28-04-2021,24.20,-2.10,-8.68%,22.10,400,22.10,22.10,22.10,0,0,0
#3,ABR,27-04-2021,22,2.20,10%,24.20,100,24.20,24.20,24.20,0,0,0
#4,ABR,26-04-2021,21.30,2.60,12.21%,23.90,"8,200",23.50,23.90,22,0,0,0
#5,ABR,23-04-2021,23.80,0.20,0.84%,24,"6,003",20.60,24,20.30,0,0,0
#6,ABR,22-04-2021,23.70,0.20,0.84%,23.90,"5,200",22.50,24.10,22.50,0,0,0
#7,ABR,20-04-2021,23.70,0,0%,23.70,0,23.70,23.70,23.70,0,0,0
#8,ABR,19-04-2021,23.60,-0.10,-0.42%,23.50,200,23.90,23.90,23.50,0,0,0
#9,ABR,16-04-2021,22.30,-0.30,-1.35%,22,"7,200",22.50,24.80,21.60,0,0,0
#10,ABR,15-04-2021,22.30,0,0%,22.30,0,22.30,22.30,22.30,0,0,0
#11,ABR,14-04-2021,24,-1.70,-7.08%,22.30,"1,700",23,23,21.80,0,0,0
#12,ABR,13-04-2021,24.30,-0.30,-1.23%,24,"2,000",24,24,24,0,0,0
#13,ABR,12-04-2021,24.60,-0.60,-2.44%,24,"3,100",26,26.10,22,0,0,0
#14,ABR,09-04-2021,24.80,-0.20,-0.81%,24.60,"2,800",24.70,24.70,24.60,0,0,0
#15,ABR,08-04-2021,25.20,-0.40,-1.59%,24.80,"2,500",24.80,24.90,24.80,0,0,0
#16,ABR,07-04-2021,26,-1.10,-4.23%,24.90,"6,400",24.90,25.90,24.90,0,0,0
#17,ABR,06-04-2021,24.60,0.30,1.22%,24.90,"7,100",24.70,27.50,21,"2,900,000","2,900,000",0
#18,ABR,05-04-2021,24.50,0.10,0.41%,24.60,"4,300",24.60,24.60,24.60,0,0,0
#19,ABR,02-04-2021,26.20,-1.60,-6.11%,24.60,"3,600",24.60,24.60,24.50,0,0,0
#20,ABR,01-04-2021,26.20,0,0%,26.20,0,26.20,26.20,26.20,0,0,0
#21,ABR,31-03-2021,25,-1.90,-7.60%,23.10,"2,600",26.30,26.30,23.10,0,0,0
#22,ABR,30-03-2021,27.20,-0.80,-2.94%,26.40,400,23.60,26.40,23.60,0,0,0
#23,ABR,29-03-2021,27.20,0,0%,27.20,0,27.20,27.20,27.20,0,0,0
#24,ABR,26-03-2021,27.20,0,0%,27.20,0,27.20,27.20,27.20,0,0,0
#25,ABR,25-03-2021,24.10,3.10,12.86%,27.20,100,27.20,27.20,27.20,0,0,0
#26,ABR,24-03-2021,24.50,3.10,12.65%,27.60,"7,500",24,27.60,22.50,0,0,0
#27,ABR,23-03-2021,28.70,1.10,3.83%,29.80,"12,700",24.60,29.80,24.40,0,0,0
